redmine_type, redmine_name, github_label_name, github_label_color
status, New, Status: Design, 66ff66
status, In Review, Status: Design, 66ff66
status, In Design, Status: Design, 66ff66
status, In Dev, Status: Dev, 66cc66
status, In Code Review, Status: QA, 336633
status, In QA, Status: QA, 336633
priority, Blank, Priority: Critical, ff9900
priority, High, Priority: High, e11d21
priority, Urgent, Priority: High, e11d21
priority, Immediate, Priority: High, e11d21
priority, Low, Priority: Medium, cc6666
priority, Normal, Priority: Medium, cc6666
tracker, Bug, Type: Bug, fef2c0
tracker, Feature, Type: Feature, fef2c0
tracker, Support, Type: Feature, fef2c0
tracker, Documentation, Type: Feature, fef2c0
tracker, Suggestion, Type: Suggestion, fef2c0
Component, API, Component: API, 3399ff
Component, File Upload & Handling, Component: File Upload & Handling, c7def8
Component, high-level, Component: High-level, c7def8
Component, Metadata, Component: Metadata, c7def8
Component, Migration, Component: Migration, c7def8
Component, Search/Browse, Component: Search/Browse, c7def8
Component, UX & Component Upgrade, Component: UX & Component Upgrade, c7def8
